bin	reads	orphaned	inverted	samestrand	secondary	supplementary	clipped	diffmol
3526327	28	0	0	0	0	0	1	1
3526337	32	0	0	0	0	0	1	1
3526347	31	0	0	0	0	0	0	0
3526357	31	0	0	0	0	0	0	0
3526367	35	0	0	0	0	0	0	0
3526377	38	0	0	0	0	0	0	0
3526387	36	0	0	0	0	0	0	0
3526397	37	0	0	0	0	0	0	0
3526407	39	0	0	0	0	0	0	0
3526417	41	0	0	0	0	0	0	0
3526427	46	0	0	0	0	0	0	0
3526437	44	0	0	0	0	0	0	0
3526447	51	0	0	0	0	0	0	0
3526457	47	0	0	0	0	0	0	0
3526467	50	0	0	0	0	0	0	0
3526477	48	0	0	0	0	0	0	0
3526487	48	0	0	0	0	0	0	0
3526497	51	0	0	0	0	0	0	0
3526507	56	0	0	0	0	0	0	0
3526517	60	0	0	0	0	0	0	0
3526527	64	0	0	2	0	0	0	0
3526537	63	0	0	2	0	0	0	0
3526547	62	0	0	2	0	0	0	0
3526557	54	0	0	2	0	0	0	0
3526567	63	0	0	4	0	0	0	0
3526577	63	0	0	4	0	0	0	0
3526587	62	0	0	4	0	0	0	0
3526597	59	0	0	4	0	0	0	0
3526607	62	0	0	4	0	0	0	0
3526617	55	0	0	4	0	0	0	0
3526627	53	0	0	4	0	0	0	0
3526637	52	0	0	2	0	0	0	0
3526647	55	0	0	2	0	0	0	0
3526657	51	0	0	2	0	0	0	0
3526667	52	0	0	2	0	0	0	0
3526677	46	0	0	0	0	0	0	0
3526687	45	0	0	0	0	0	0	0
3526697	49	0	0	0	0	0	0	0
3526707	54	0	0	0	0	0	0	0
3526717	51	0	0	0	0	0	0	0
3526727	53	0	0	0	0	0	1	1
3526737	52	0	0	0	0	0	7	7
3526747	53	0	0	0	0	0	12	12
3526757	53	0	0	0	0	0	17	17
3526767	53	0	0	0	0	0	20	20
3526777	52	0	0	0	0	4	24	24
3526787	57	0	0	0	0	12	32	32
3526797	60	0	0	0	0	19	39	39
3526807	56	0	0	0	0	19	39	39
3526817	72	0	0	0	0	25	51	51
3526827	74	0	0	0	0	25	55	55
3526837	41	0	0	0	0	6	23	23
3526847	50	0	0	0	0	6	29	29
3526857	56	0	0	1	0	3	28	28
3526867	63	0	0	1	0	2	28	28
3526877	65	0	0	1	0	0	26	26
3526887	70	0	0	1	0	0	27	27
3526897	76	0	0	1	0	0	26	26
3526907	76	0	0	1	0	0	26	26
3526917	80	0	0	1	0	0	24	24
3526927	54	0	0	1	0	0	1	1
3526937	56	0	0	1	0	0	1	1
3526947	54	0	0	1	0	0	1	1
3526957	56	0	0	1	0	0	1	1
3526967	53	0	0	0	0	0	1	1
3526977	48	0	0	0	0	0	1	1
3526987	54	0	0	0	0	0	0	0
3526997	58	0	0	0	0	0	0	0
3527007	58	0	0	0	0	0	0	0
3527017	60	0	0	0	0	0	0	0
3527027	59	0	0	0	0	0	0	0
3527037	52	0	0	0	0	0	0	0
3527047	56	1	0	0	0	0	0	0
3527057	65	2	0	0	0	0	0	0
3527067	65	2	0	0	0	0	0	0
3527077	69	2	0	0	0	0	0	0
3527087	72	2	0	0	0	0	0	0
3527097	70	2	0	0	0	0	0	0
3527107	63	2	0	0	0	0	0	0
3527117	62	2	0	0	0	0	0	0
3527127	64	2	0	0	0	0	0	0
3527137	70	2	0	0	0	0	0	0
3527147	75	2	0	0	0	0	0	0
3527157	73	1	0	0	0	0	0	0
3527167	67	0	0	0	0	0	0	0
3527177	64	0	0	0	0	0	0	0
3527187	60	0	0	0	0	0	1	1
3527197	57	0	0	0	0	0	1	1
3527207	53	0	0	0	0	0	1	1
3527217	56	0	0	0	0	0	1	1
3527227	56	0	0	0	0	0	2	2
3527237	56	0	0	0	0	0	2	2
3527247	55	0	0	0	0	0	2	2
3527257	47	0	0	0	0	0	1	1
3527267	44	0	0	0	0	0	1	1
3527277	43	0	0	0	0	0	1	1
3527287	40	0	0	0	0	0	1	1
3527297	35	0	0	0	0	0	0	0
3527307	37	0	0	0	0	0	0	0
3527317	39	0	0	0	0	0	0	0
