bin	total	mapQltT	mapQ0
885724	47	1	1
885734	50	2	1
885744	51	2	1
885754	49	2	1
885764	46	2	1
885774	45	2	1
885784	47	2	2
885794	51	4	2
885804	55	6	2
885814	58	7	1
885824	59	6	1
885834	57	6	1
885844	60	6	1
885854	65	6	1
885864	65	6	1
885874	63	6	0
885884	59	6	0
885894	57	5	0
885904	52	1	0
885914	55	0	0
885924	56	0	0
885934	61	1	0
885944	54	1	0
885954	51	1	0
885964	58	2	0
885974	60	4	0
885984	59	4	1
885994	63	4	2
886004	62	4	2
886014	64	4	2
886024	65	4	2
886034	66	4	2
886044	65	3	2
886054	64	3	2
886064	57	1	1
886074	53	0	1
886084	52	0	0
886094	52	0	0
886104	52	0	0
886114	51	0	0
886124	48	0	0
886134	44	0	0
886144	41	0	0
886154	48	0	0
886164	53	0	0
886174	55	0	0
886184	56	0	0
886194	56	3	0
886204	53	7	0
886214	51	11	0
886224	57	20	0
886234	63	23	0
886244	63	23	0
886254	33	9	0
886264	37	4	0
886274	39	0	0
886284	43	0	0
886294	48	0	0
886304	52	0	0
886314	61	1	1
886324	54	2	1
886334	57	6	1
886344	59	7	1
886354	60	7	1
886364	62	7	1
886374	59	7	1
886384	64	7	1
886394	61	7	1
886404	60	7	0
886414	56	6	0
886424	51	2	0
886434	51	0	0
886444	49	0	0
886454	51	0	0
886464	48	0	0
886474	43	0	0
886484	39	0	0
886494	39	0	0
886504	40	0	0
886514	40	0	0
886524	39	0	0
886534	43	0	0
886544	42	0	0
886554	40	0	0
886564	39	0	0
886574	41	0	0
886584	42	0	0
886594	44	1	0
886604	44	2	0
886614	48	2	0
886624	50	4	0
886634	50	6	0
886644	53	6	0
886654	55	6	0
886664	58	7	0
886674	65	7	0
886684	66	5	0
886694	69	4	0
886704	67	4	0
886714	64	4	0
