bin	total	mapQltT	mapQ0
3450287	31	0	0
3450297	34	0	0
3450307	35	0	0
3450317	34	0	0
3450327	36	0	0
3450337	42	0	0
3450347	44	0	0
3450357	45	0	0
3450367	47	0	0
3450377	51	0	0
3450387	47	0	0
3450397	46	0	0
3450407	47	0	0
3450417	48	0	0
3450427	49	0	0
3450437	46	0	0
3450447	46	2	0
3450457	47	7	0
3450467	43	9	0
3450477	42	12	0
3450487	47	17	0
3450497	46	19	0
3450507	44	19	0
3450517	46	22	0
3450527	47	25	0
3450537	43	26	0
3450547	47	24	0
3450557	44	18	0
3450567	50	17	0
3450577	53	15	0
3450587	49	8	0
3450597	54	7	0
3450607	55	6	0
3450617	54	3	0
3450627	50	0	0
3450637	50	0	0
3450647	53	0	0
3450657	55	0	0
3450667	58	0	0
3450677	53	0	0
3450687	53	0	0
3450697	53	0	0
3450707	53	0	0
3450717	56	0	0
3450727	55	0	0
3450737	53	0	0
3450747	50	0	0
3450757	46	0	0
3450767	45	0	0
3450777	47	0	0
3450787	45	0	0
3450797	44	0	0
3450807	42	0	0
3450817	43	0	0
3450827	46	0	0
3450837	47	0	0
3450847	47	0	0
3450857	48	0	0
3450867	55	0	0
3450877	54	0	0
3450887	53	0	0
3450897	53	0	0
3450907	57	0	0
3450917	58	0	0
3450927	58	0	0
3450937	55	0	0
3450947	55	0	0
3450957	55	0	0
3450967	50	0	0
3450977	43	0	0
3450987	44	0	0
3450997	44	0	0
3451007	46	0	0
3451017	46	0	0
3451027	42	0	0
3451037	44	0	0
3451047	47	0	0
3451057	46	0	0
3451067	47	0	0
3451077	51	0	0
3451087	49	0	0
3451097	48	0	0
3451107	47	0	0
3451117	47	0	0
3451127	46	0	0
3451137	45	0	0
3451147	43	0	0
3451157	40	0	0
3451167	37	0	0
3451177	37	0	0
3451187	40	0	0
3451197	41	0	0
3451207	41	0	0
3451217	43	0	0
3451227	40	0	0
3451237	40	0	0
3451247	42	0	0
3451257	49	0	0
3451267	56	0	0
3451277	56	0	0
