bin	total	mapQltT	mapQ0
7498859	46	0	0
7498875	46	0	0
7498891	43	0	0
7498907	41	0	0
7498923	42	0	0
7498939	44	0	0
7498955	42	0	0
7498971	41	0	0
7498987	43	1	0
7499003	41	2	0
7499019	39	4	0
7499035	39	4	0
7499051	40	4	0
7499067	43	4	0
7499083	44	3	0
7499099	44	3	0
7499115	48	2	0
7499131	54	2	0
7499147	52	2	0
7499163	45	4	0
7499179	45	5	0
7499195	48	5	0
7499211	44	5	0
7499227	39	5	0
7499243	37	6	0
7499259	36	4	0
7499275	37	5	0
7499291	41	4	0
7499307	46	4	0
7499323	49	3	0
7499339	58	2	0
7499355	58	1	0
7499371	54	1	1
7499387	47	1	1
7499403	37	1	1
7499419	32	1	1
7499435	28	1	1
7499451	32	1	0
7499467	41	1	0
7499483	46	2	0
7499499	51	2	1
7499515	53	2	1
7499531	49	1	1
7499547	46	1	1
7499563	41	0	1
7499579	44	0	0
7499595	43	0	0
7499611	48	0	0
7499627	50	0	0
7499643	55	0	0
7499659	53	0	0
7499675	51	0	0
7499691	50	0	0
7499707	48	0	0
7499723	44	0	0
7499739	40	0	0
7499755	40	0	0
7499771	42	0	0
7499787	43	0	0
7499803	44	0	0
7499819	46	0	0
7499835	44	0	0
7499851	43	1	0
7499867	42	1	0
7499883	43	1	0
7499899	43	1	0
7499915	47	1	0
7499931	45	0	0
7499947	48	0	0
7499963	42	0	0
7499979	38	0	0
7499995	36	0	0
7500011	36	0	0
7500027	40	0	0
7500043	40	0	0
7500059	37	0	0
7500075	39	0	0
7500091	36	0	0
7500107	33	0	0
7500123	28	1	0
7500139	26	1	0
7500155	27	1	0
7500171	32	0	0
7500187	33	0	0
7500203	37	0	0
7500219	40	0	0
7500235	40	0	0
7500251	42	2	1
7500267	46	3	1
7500283	49	4	1
7500299	49	4	1
7500315	45	5	1
7500331	45	5	0
7500347	44	2	1
7500363	40	1	1
7500379	38	1	1
7500395	38	1	1
7500411	36	1	1
7500427	31	0	0
7500443	30	0	0
7500459	34	0	0
7500475	36	0	0
7500491	37	0	0
7500507	42	1	0
