bin	total	mapQltT	mapQ0
3450287	48	1	0
3450297	42	1	0
3450307	42	1	0
3450317	43	1	0
3450327	43	1	0
3450337	43	1	0
3450347	45	1	0
3450357	47	0	0
3450367	50	0	0
3450377	48	0	0
3450387	48	0	0
3450397	49	0	0
3450407	52	0	0
3450417	50	0	0
3450427	50	0	0
3450437	50	0	0
3450447	52	1	0
3450457	53	6	0
3450467	57	14	0
3450477	59	19	0
3450487	62	25	0
3450497	67	32	0
3450507	74	38	1
3450517	73	42	1
3450527	72	45	1
3450537	71	45	1
3450547	69	43	1
3450557	68	38	1
3450567	65	32	0
3450577	61	26	0
3450587	57	18	0
3450597	53	12	0
3450607	47	7	0
3450617	47	2	0
3450627	45	0	0
3450637	48	0	0
3450647	52	0	0
3450657	54	0	0
3450667	54	0	0
3450677	61	0	0
3450687	61	0	0
3450697	59	0	0
3450707	61	0	0
3450717	63	0	0
3450727	67	0	0
3450737	65	0	0
3450747	62	0	0
3450757	57	0	0
3450767	58	0	0
3450777	59	0	0
3450787	65	0	0
3450797	64	0	0
3450807	63	0	0
3450817	64	0	0
3450827	66	0	0
3450837	69	0	0
3450847	72	0	0
3450857	74	0	0
3450867	74	0	0
3450877	68	0	0
3450887	64	0	0
3450897	65	0	0
3450907	66	0	0
3450917	70	0	0
3450927	67	0	0
3450937	69	0	0
3450947	67	0	0
3450957	62	0	0
3450967	61	0	0
3450977	62	0	0
3450987	64	0	0
3450997	64	0	0
3451007	65	0	0
3451017	63	0	0
3451027	68	0	0
3451037	67	0	0
3451047	69	0	0
3451057	69	0	0
3451067	69	0	0
3451077	67	0	0
3451087	67	0	0
3451097	67	0	1
3451107	68	0	1
3451117	68	0	1
3451127	65	0	1
3451137	59	0	0
3451147	57	0	0
3451157	58	0	0
3451167	60	0	0
3451177	62	0	0
3451187	65	0	0
3451197	67	0	0
3451207	67	0	0
3451217	65	0	0
3451227	66	0	0
3451237	64	0	0
3451247	64	0	0
3451257	62	0	0
3451267	58	0	0
3451277	58	0	0
