bin	reads	orphaned	inverted	samestrand	secondary	supplementary	clipped	diffmol
1022087	41	0	37	0	0	0	0	0
1022097	46	0	39	0	0	0	0	0
1022107	51	0	43	0	0	0	0	0
1022117	55	0	47	0	0	0	0	0
1022127	57	0	43	0	0	0	0	0
1022137	52	0	37	0	0	0	0	0
1022147	54	0	35	0	0	0	0	0
1022157	59	0	40	0	0	0	0	0
1022167	56	0	36	0	0	0	0	0
1022177	63	0	39	0	0	0	0	0
1022187	62	0	37	0	0	0	0	0
1022197	57	0	35	0	0	0	0	0
1022207	54	0	34	0	0	0	0	0
1022217	52	0	29	0	0	0	0	0
1022227	51	0	26	0	0	0	0	0
1022237	53	0	30	0	0	0	0	0
1022247	54	0	30	0	0	0	0	0
1022257	56	0	31	2	0	0	0	0
1022267	58	0	30	2	0	0	0	0
1022277	60	0	30	2	0	0	0	0
1022287	57	0	29	2	0	0	0	0
1022297	60	0	31	2	0	0	0	0
1022307	63	0	32	2	0	0	0	0
1022317	62	0	31	2	0	0	0	0
1022327	62	0	35	2	0	0	0	0
1022337	65	0	37	2	0	0	0	0
1022347	62	0	34	2	0	0	0	0
1022357	58	0	32	2	0	0	0	0
1022367	62	0	37	0	0	0	0	0
1022377	56	0	33	0	0	0	1	1
1022387	57	0	34	0	0	0	1	1
1022397	58	0	30	0	0	0	1	1
1022407	51	0	26	0	0	0	1	1
1022417	52	0	27	0	0	0	1	1
1022427	53	0	26	0	0	0	1	1
1022437	56	0	27	0	0	0	1	1
1022447	53	0	25	0	0	0	1	1
1022457	49	0	23	0	0	0	1	1
1022467	52	0	25	0	0	0	1	1
1022477	51	0	22	0	0	0	1	1
1022487	52	0	22	0	0	0	2	2
1022497	49	0	20	0	0	0	6	6
1022507	54	0	25	0	0	0	16	16
1022517	57	0	26	0	0	0	21	21
1022527	56	0	26	0	0	0	25	25
1022537	59	0	28	0	0	0	26	26
1022547	59	0	26	0	0	0	26	26
1022557	57	0	24	0	0	0	26	26
1022567	56	0	24	0	0	0	26	26
1022577	50	0	21	0	0	0	26	26
1022587	52	0	20	0	0	0	30	30
1022597	28	0	7	0	0	0	6	6
1022607	43	0	16	0	0	0	16	16
1022617	57	0	24	2	0	0	20	20
1022627	60	0	28	2	0	0	26	26
1022637	58	0	29	2	0	0	26	26
1022647	64	0	31	2	0	0	26	26
1022657	70	0	33	2	0	0	26	26
1022667	76	0	37	2	0	0	26	26
1022677	80	0	38	2	0	0	26	26
1022687	87	0	42	2	0	0	26	26
1022697	65	0	30	0	0	0	0	0
1022707	64	0	31	0	0	0	0	0
1022717	63	0	31	0	0	0	0	0
1022727	60	0	28	0	0	0	0	0
1022737	63	0	28	0	0	0	0	0
1022747	60	0	27	0	0	0	0	0
1022757	56	0	26	0	0	0	0	0
1022767	56	0	26	0	0	0	0	0
1022777	55	0	25	0	0	0	1	1
1022787	56	0	27	0	0	0	1	1
1022797	57	0	27	0	0	0	1	1
1022807	57	0	25	0	0	0	1	1
1022817	55	0	24	0	0	0	1	1
1022827	55	0	26	0	0	0	1	1
1022837	54	0	24	0	0	0	1	1
1022847	54	0	27	0	0	0	1	1
1022857	60	0	32	0	0	0	1	1
1022867	61	0	31	0	0	0	1	1
1022877	65	0	32	0	0	0	1	1
1022887	62	0	32	0	0	0	0	0
1022897	66	0	34	0	0	0	0	0
1022907	62	0	30	0	0	0	0	0
1022917	61	0	32	0	0	0	1	1
1022927	64	0	36	0	0	0	1	1
1022937	70	0	39	0	0	0	1	1
1022947	74	0	41	2	0	0	2	2
1022957	69	0	36	2	0	0	2	2
1022967	71	1	35	2	0	0	1	1
1022977	69	1	35	2	0	0	1	1
1022987	73	1	36	2	0	0	1	1
1022997	74	1	37	2	0	0	1	1
1023007	66	1	32	2	0	0	1	1
1023017	66	1	34	2	0	0	1	1
1023027	66	1	34	2	0	0	1	1
1023037	64	1	30	2	0	0	1	1
1023047	61	1	28	2	0	0	0	0
1023057	58	1	28	0	0	0	0	0
1023067	58	1	29	0	0	0	0	0
1023077	60	0	30	0	0	0	0	0
