3450287	340
3450297	NA
3450307	252,347
3450317	422,316
3450327	649,296,344,313
3450337	198,304,308
3450347	178,359,338
3450357	288
3450367	313
3450377	425,335,385,317,195,280
3450387	302,283,248
3450397	299
3450407	NA
3450417	365,179,337
3450427	318,323,228,379,272
3450437	270,360,245,266
3450447	NA
3450457	312
3450467	364
3450477	298,247,255,302,318
3450487	NA
3450497	268,279
3450507	334,297,369
3450517	329,326,362
3450527	343,379,275
3450537	NA
3450547	NA
3450557	NA
3450567	361,348
3450577	NA
3450587	NA
3450597	NA
3450607	NA
3450617	NA
3450627	241,201,158,291,161,170
3450637	165,159,251,123
3450647	194,185
3450657	310,289,333
3450667	253,265,137,343,193,281,266
3450677	197,202,336
3450687	NA
3450697	233,301,218,230,229,193,289
3450707	242,209
3450717	254,259
3450727	267
3450737	264,341,247,240
3450747	267,301,290,301
3450757	237,403
3450767	312,301
3450777	445,285,264
3450787	326,176,215,201,249
3450797	312,259,296
3450807	255,333
3450817	247
3450827	348,414
3450837	339,273,324,265
3450847	223,314,354,332
3450857	218,320
3450867	387,357,301
3450877	314,377,230,347
3450887	389,303,241
3450897	338,70,291,299,271,240,271
3450907	300,265,250
3450917	287,280,366,165
3450927	445,446,309,342,298,291
3450937	321,326
3450947	266
3450957	363,419
3450967	263
3450977	231,303,217,284
3450987	405,354
3450997	NA
3451007	350,248
3451017	284,269,279,201
3451027	261,255,243
3451037	223,280,245
3451047	310,245,277
3451057	338,243,279
3451067	342,373,359
3451077	203,273
3451087	NA
3451097	NA
3451107	272,391,287,323
3451117	334
3451127	NA
3451137	268,279,372,260
3451147	252,338,338
3451157	263,236,347
3451167	295,359,355,229
3451177	305,322,282,266,282,334
3451187	193,305
3451197	273
3451207	298,358,360
3451217	368
3451227	346,204,276
3451237	NA
3451247	297,254,254,276
3451257	NA
3451267	302,273,240,286,289,310
3451277	411,309
