bin	total	mapQltT	mapQ0
3450287	45	0	0
3450297	42	0	0
3450307	42	0	0
3450317	42	0	0
3450327	44	0	0
3450337	44	0	0
3450347	44	0	0
3450357	41	0	0
3450367	41	0	0
3450377	39	0	0
3450387	39	0	0
3450397	42	0	0
3450407	49	0	0
3450417	50	0	0
3450427	48	0	0
3450437	42	0	0
3450447	39	0	0
3450457	51	9	0
3450467	67	23	1
3450477	81	32	1
3450487	88	42	1
3450497	88	46	1
3450507	89	52	1
3450517	87	56	1
3450527	88	57	1
3450537	96	57	1
3450547	97	54	0
3450557	92	45	0
3450567	85	38	0
3450577	73	22	0
3450587	65	14	0
3450597	65	9	0
3450607	66	5	0
3450617	67	2	0
3450627	64	0	0
3450637	65	0	0
3450647	66	0	0
3450657	69	0	0
3450667	64	0	0
3450677	59	0	0
3450687	58	0	0
3450697	58	0	0
3450707	56	0	0
3450717	54	0	0
3450727	51	0	0
3450737	50	0	0
3450747	45	0	0
3450757	44	0	0
3450767	51	0	0
3450777	55	0	0
3450787	53	0	0
3450797	54	0	0
3450807	58	0	0
3450817	65	0	0
3450827	70	0	0
3450837	69	0	0
3450847	70	0	0
3450857	68	0	0
3450867	64	0	0
3450877	61	0	0
3450887	62	0	0
3450897	59	0	0
3450907	56	0	0
3450917	52	0	0
3450927	49	0	0
3450937	49	0	0
3450947	51	0	0
3450957	54	0	0
3450967	59	0	0
3450977	60	0	0
3450987	58	0	0
3450997	57	0	0
3451007	57	0	0
3451017	58	0	0
3451027	53	0	0
3451037	55	0	0
3451047	56	0	0
3451057	52	0	0
3451067	49	0	0
3451077	47	0	0
3451087	48	0	0
3451097	49	0	0
3451107	51	0	0
3451117	50	0	0
3451127	49	0	0
3451137	47	0	0
3451147	46	0	0
3451157	45	0	0
3451167	45	0	0
3451177	43	0	0
3451187	42	0	0
3451197	46	0	0
3451207	50	0	0
3451217	55	0	0
3451227	62	0	0
3451237	64	0	0
3451247	63	0	0
3451257	65	0	0
3451267	64	0	0
3451277	65	0	0
