bin	reads	orphaned	inverted	samestrand	secondary	supplementary	clipped	diffmol
3526327	22	0	0	2	0	0	0	0
3526337	27	0	0	2	0	0	0	0
3526347	24	0	0	2	0	0	0	0
3526357	26	0	0	2	0	0	0	0
3526367	30	0	0	2	0	0	0	0
3526377	30	0	0	4	0	0	0	0
3526387	33	0	0	4	0	0	0	0
3526397	41	0	0	4	0	0	0	0
3526407	45	0	0	4	0	0	0	0
3526417	47	0	0	4	0	0	0	0
3526427	57	0	0	6	0	0	0	0
3526437	59	0	0	4	0	0	0	0
3526447	57	0	0	4	0	0	0	0
3526457	63	0	0	6	0	0	0	0
3526467	65	0	0	6	0	0	1	1
3526477	68	0	0	6	0	0	1	1
3526487	66	0	0	4	0	0	1	1
3526497	67	0	0	4	0	0	1	1
3526507	62	0	0	4	0	0	1	1
3526517	59	0	0	4	0	0	1	1
3526527	63	0	0	4	0	0	1	1
3526537	60	0	0	2	0	0	1	1
3526547	58	0	0	2	0	0	0	0
3526557	62	0	0	2	0	0	0	0
3526567	56	0	0	0	0	0	0	0
3526577	54	0	0	0	0	0	0	0
3526587	51	0	0	0	0	0	0	0
3526597	53	0	0	0	0	0	1	1
3526607	53	0	0	0	0	0	1	1
3526617	51	1	0	0	0	0	1	1
3526627	53	1	0	0	0	0	1	1
3526637	50	1	0	0	0	0	1	1
3526647	50	1	0	0	0	0	1	1
3526657	48	1	0	0	0	0	1	1
3526667	50	1	0	0	0	0	1	1
3526677	53	1	0	0	0	0	0	0
3526687	53	1	0	0	0	0	0	0
3526697	53	1	0	0	0	0	0	0
3526707	53	1	0	0	0	0	0	0
3526717	55	1	0	0	0	1	1	1
3526727	56	0	0	0	0	1	3	3
3526737	55	0	0	0	0	1	5	5
3526747	51	0	0	0	0	1	5	5
3526757	50	0	0	0	0	1	7	7
3526767	54	0	0	0	0	0	10	10
3526777	55	0	0	0	0	3	14	14
3526787	54	0	0	0	0	3	14	14
3526797	52	0	0	0	0	5	16	16
3526807	55	0	0	0	0	5	17	17
3526817	62	0	0	0	0	5	23	23
3526827	65	0	0	3	0	6	27	27
3526837	57	0	0	3	0	1	13	13
3526847	60	0	0	3	0	1	14	14
3526857	64	0	0	3	0	1	13	13
3526867	65	0	0	3	0	1	14	14
3526877	66	0	0	3	0	1	15	15
3526887	63	0	0	3	0	0	14	14
3526897	61	0	0	3	0	0	14	14
3526907	66	0	0	3	0	0	13	13
3526917	64	0	0	3	0	0	12	12
3526927	51	0	0	1	0	0	0	0
3526937	51	0	0	0	0	0	0	0
3526947	44	0	0	0	0	0	0	0
3526957	44	0	0	0	0	0	0	0
3526967	45	0	0	0	0	0	0	0
3526977	47	0	0	0	0	0	0	0
3526987	48	0	0	0	0	0	0	0
3526997	52	1	0	0	0	0	0	0
3527007	56	1	0	0	0	0	0	0
3527017	56	1	0	0	0	0	0	0
3527027	56	1	0	0	0	0	0	0
3527037	61	1	0	0	0	0	0	0
3527047	63	1	0	0	0	0	0	0
3527057	65	1	0	0	0	0	0	0
3527067	70	1	0	0	0	0	0	0
3527077	66	1	0	0	0	0	0	0
3527087	67	1	0	0	0	0	0	0
3527097	63	1	0	0	0	0	0	0
3527107	57	0	0	0	0	0	0	0
3527117	61	0	0	0	0	0	0	0
3527127	61	0	0	0	0	0	0	0
3527137	62	0	0	0	0	0	1	1
3527147	58	0	0	0	0	0	1	1
3527157	57	0	0	0	0	0	1	1
3527167	62	0	0	0	0	0	1	1
3527177	59	0	0	0	0	0	1	1
3527187	57	0	0	0	0	0	1	1
3527197	53	0	0	0	0	0	1	1
3527207	58	0	0	0	0	0	1	1
3527217	60	0	0	0	0	0	1	1
3527227	56	0	0	0	0	0	1	1
3527237	51	0	0	0	0	0	0	0
3527247	50	0	0	1	0	0	1	1
3527257	46	0	0	1	0	0	1	1
3527267	52	0	0	2	0	0	2	2
3527277	43	0	0	2	0	0	2	2
3527287	40	0	0	2	0	0	2	2
3527297	42	0	0	2	0	0	2	2
3527307	39	0	0	2	0	0	2	2
3527317	37	0	0	2	0	0	2	2
