3526327	NA
3526337	334,323,316,307
3526347	NA
3526357	349,375
3526367	418,450,358,274,468
3526377	363,348
3526387	386
3526397	367,426,356,370
3526407	184,338,404,343
3526417	283,345
3526427	200,302,397,463,250
3526437	385,372
3526447	NA
3526457	NA
3526467	288,345
3526477	339,352
3526487	272,365
3526497	242,217,367
3526507	360,319
3526517	NA
3526527	287,421,300,387,299
3526537	248,268,282,334,425
3526547	330,298
3526557	350,427,223,376
3526567	NA
3526577	278,452
3526587	NA
3526597	278,237,343,209,181,215,215
3526607	410,291,260
3526617	NA
3526627	295
3526637	133
3526647	183,286
3526657	323
3526667	268
3526677	202,236
3526687	396
3526697	NA
3526707	NA
3526717	NA
3526727	NA
3526737	NA
3526747	366
3526757	224
3526767	267,281
3526777	309,334
3526787	349
3526797	295
3526807	335,368
3526817	256,306,326,354,320,350
3526827	143,264,382
3526837	309,304,252,335,348,349,336
3526847	242,424,412,302
3526857	221,374,488,291
3526867	296
3526877	NA
3526887	302,251
3526897	469
3526907	419,250,309,309,355,315
3526917	217,351
3526927	300,338,253
3526937	212,295
3526947	309,293
3526957	355,258,348
3526967	368,529,324,202
3526977	365,348,293,301
3526987	299,371,232
3526997	306,427,342
3527007	344,254,296
3527017	332,291,241
3527027	327,317
3527037	306,345,254,445
3527047	326,474
3527057	292,251,317
3527067	254,355
3527077	354
3527087	261,276,388,258,413
3527097	374
3527107	315,323
3527117	254,410,372
3527127	358,423,323
3527137	230,316
3527147	303,277,346,337,334,260
3527157	387,387
3527167	438,520,295,368,217,314
3527177	255
3527187	265
3527197	334,310
3527207	359,360
3527217	293
3527227	384,287
3527237	243,263,153
3527247	269,397
3527257	368,351
3527267	298,134,282,266,281,344,358,332
3527277	309,365,444,313
3527287	NA
3527297	432,372,296,263,241
3527307	335
3527317	330,331,239
