bin	total	mapQltT	mapQ0
3526327	44	0	0
3526337	42	0	0
3526347	40	0	0
3526357	37	0	0
3526367	35	0	0
3526377	35	0	0
3526387	36	0	0
3526397	42	0	0
3526407	45	0	0
3526417	45	0	0
3526427	49	0	0
3526437	53	0	0
3526447	55	0	0
3526457	56	0	0
3526467	61	0	0
3526477	62	0	0
3526487	61	0	0
3526497	58	0	0
3526507	56	0	0
3526517	54	0	0
3526527	53	0	0
3526537	51	0	0
3526547	54	0	0
3526557	54	0	0
3526567	52	0	0
3526577	49	0	0
3526587	45	0	0
3526597	46	0	0
3526607	48	0	0
3526617	47	0	0
3526627	46	0	0
3526637	42	0	0
3526647	44	0	0
3526657	44	0	0
3526667	44	0	0
3526677	48	0	0
3526687	51	0	0
3526697	47	0	0
3526707	46	0	0
3526717	50	0	0
3526727	52	0	0
3526737	50	0	0
3526747	46	0	0
3526757	44	0	0
3526767	46	0	0
3526777	50	0	1
3526787	48	2	1
3526797	49	2	1
3526807	51	2	3
3526817	50	3	3
3526827	57	2	2
3526837	52	1	1
3526847	57	0	1
3526857	60	0	1
3526867	61	0	1
3526877	60	0	0
3526887	60	1	0
3526897	58	1	0
3526907	60	1	0
3526917	51	0	0
3526927	47	0	0
3526937	41	0	0
3526947	39	0	0
3526957	39	0	0
3526967	38	0	0
3526977	41	0	0
3526987	43	0	0
3526997	47	0	0
3527007	51	0	0
3527017	51	0	0
3527027	53	0	0
3527037	55	0	0
3527047	58	0	0
3527057	62	0	0
3527067	62	0	0
3527077	59	0	0
3527087	60	0	0
3527097	57	0	0
3527107	54	0	0
3527117	54	0	0
3527127	56	0	0
3527137	54	0	0
3527147	49	0	0
3527157	53	0	0
3527167	53	0	0
3527177	54	0	0
3527187	51	0	0
3527197	49	0	0
3527207	53	0	0
3527217	54	0	0
3527227	51	0	0
3527237	50	0	0
3527247	56	0	0
3527257	57	0	0
3527267	60	0	0
3527277	61	0	0
3527287	61	0	0
3527297	62	0	0
3527307	63	0	0
3527317	62	0	0
