bin	total	mapQltT	mapQ0
13827811	49	0	0
13827821	51	0	0
13827831	52	0	0
13827841	51	0	0
13827851	52	0	0
13827861	48	0	0
13827871	50	0	0
13827881	52	0	0
13827891	53	0	0
13827901	47	0	0
13827911	47	0	0
13827921	49	0	0
13827931	48	0	0
13827941	48	0	0
13827951	43	0	0
13827961	42	0	0
13827971	43	0	0
13827981	49	0	0
13827991	48	0	0
13828001	53	0	0
13828011	51	0	0
13828021	50	0	0
13828031	46	0	0
13828041	50	0	0
13828051	57	0	0
13828061	56	0	0
13828071	53	0	0
13828081	53	0	0
13828091	54	0	0
13828101	53	0	0
13828111	53	0	0
13828121	53	0	0
13828131	51	0	0
13828141	53	0	0
13828151	49	0	0
13828161	48	0	0
13828171	49	0	0
13828181	46	0	0
13828191	48	0	0
13828201	45	0	0
13828211	43	0	0
13828221	45	0	0
13828231	42	0	0
13828241	41	0	0
13828251	44	0	0
13828261	46	0	0
13828271	46	0	0
13828281	46	0	0
13828291	47	0	0
13828301	42	0	0
13828311	30	0	0
13828321	30	0	0
13828331	40	0	0
13828341	50	0	0
13828351	54	0	0
13828361	53	0	0
13828371	54	0	0
13828381	63	0	0
13828391	71	0	0
13828401	74	0	0
13828411	60	0	0
13828421	56	0	0
13828431	57	0	0
13828441	58	0	0
13828451	58	0	0
13828461	53	0	0
13828471	56	0	0
13828481	53	0	0
13828491	52	0	0
13828501	54	1	0
13828511	57	1	0
13828521	61	1	0
13828531	61	1	0
13828541	53	1	0
13828551	52	1	0
13828561	54	1	0
13828571	52	1	0
13828581	45	0	0
13828591	42	0	0
13828601	43	0	0
13828611	43	0	0
13828621	39	0	0
13828631	38	0	0
13828641	42	0	0
13828651	42	0	0
13828661	44	0	0
13828671	45	0	0
13828681	45	0	0
13828691	47	0	0
13828701	44	0	0
13828711	44	0	0
13828721	46	0	0
13828731	46	0	0
13828741	41	0	0
13828751	41	0	0
13828761	42	0	0
13828771	43	0	0
13828781	39	0	0
13828791	45	0	0
13828801	45	0	0
