bin	total	mapQltT	mapQ0
4063738	53	0	0
4063767	53	0	0
4063796	49	0	0
4063825	45	0	0
4063854	50	0	0
4063883	54	0	0
4063912	60	0	0
4063941	53	0	0
4063970	53	0	0
4063999	57	0	0
4064028	54	0	0
4064057	50	0	0
4064086	45	0	0
4064115	47	0	0
4064144	55	0	0
4064173	60	0	0
4064202	61	0	0
4064231	57	0	0
4064260	57	1	0
4064289	52	2	0
4064318	55	2	0
4064347	47	1	0
4064376	46	3	0
4064405	50	5	1
4064434	58	11	2
4064463	67	17	3
4064492	73	18	7
4064521	67	14	6
4064550	63	7	6
4064579	56	7	3
4064608	61	12	2
4064637	78	18	2
4064666	79	16	2
4064695	81	13	3
4064724	62	4	1
4064753	56	3	0
4064782	58	3	0
4064811	60	7	0
4064840	52	10	0
4064869	49	9	0
4064898	45	6	0
4064927	24	1	0
4064956	28	4	1
4064985	30	4	2
4065014	26	3	0
4065043	34	5	0
4065072	37	5	0
4065101	40	5	0
4065130	34	2	1
4065159	28	2	2
4065188	30	2	2
4065217	27	0	1
4065246	31	1	1
4065275	34	3	0
4065304	35	5	0
4065333	44	8	0
4065362	39	8	0
4065391	37	7	1
4065420	33	3	1
4065449	28	1	2
4065478	25	0	1
4065507	27	0	0
4065536	26	0	0
4065565	28	0	0
4065594	26	0	0
4065623	27	0	0
4065652	28	0	0
4065681	33	0	0
4065710	35	0	1
4065739	32	0	1
4065768	29	0	0
4065797	24	0	0
4065826	27	0	0
4065855	34	0	0
4065884	37	1	0
4065913	33	1	0
4065942	30	3	0
4065971	26	4	0
4066000	18	1	0
4066029	19	0	0
4066058	26	2	1
4066087	34	4	2
4066116	36	5	2
4066145	35	4	1
4066174	30	1	0
4066203	26	1	0
4066232	24	2	1
4066261	29	4	1
4066290	37	12	2
4066319	37	10	1
4066348	43	10	1
4066377	71	16	0
4066406	86	19	0
4066435	89	17	0
4066464	69	11	0
4066493	48	3	0
4066522	36	1	0
4066551	27	1	0
4066580	27	2	0
4066609	29	2	0
