4063738	342,323,276,337,373,344,334,325
4063767	484,351,279,313,339,293,304
4063796	357,400
4063825	194,313,184,350,395,225,212,339
4063854	392,330,336,318,321,362,359,292,308,440,394
4063883	362,251,291,404,350,221,407,365
4063912	347,313,192,546,389,287,364,314,362
4063941	284,377,327,269,371,250
4063970	253,256,301,394,403,205,218,322,328,382,316,273
4063999	263,326,369,378,477,2298
4064028	309,314,356,375,228,288,183,245
4064057	254,529,213,303,358,405,360
4064086	316,336,472,253,407
4064115	292,397,409,320,239,223
4064144	303,369,240,312,320,350,379,425,383,326,303,277
4064173	2149,513,233,389,2140,391,2146,227
4064202	364,257,317,268,339,499
4064231	2089,255,247,361,256,282,343,104
4064260	293,271,489,348,362,302,305,247
4064289	347,317,199,329,296,338,398,304
4064318	332,332,336,319,435
4064347	310,271,289,461,295
4064376	340,215,302,381,382,317,402
4064405	335,335,371,220,419,424,328,318,362
4064434	296,299,305,296,100,161,181,351
4064463	29,535,277,425,359,291
4064492	339,373,325,391,303,303
4064521	82,408,254,266,495,2,439,456,370
4064550	305,319,299,357,321,237,274,277
4064579	231,381,1908,332,107,323
4064608	221,526,304,588,513,155,74,506,73,288,231
4064637	319,108,375,219,72,446,490,247
4064666	440,333,359,420
4064695	335,258,354,211
4064724	20,355,254,474,377,351,-194,-158,-63,-166
4064753	299,-45,321,398,364,-185,229,216,323,426,425,418
4064782	468,386,126,541,389
4064811	267,-92,-68,333,-73,-74
4064840	125,316,297,335
4064869	-145,-128,-113,-146,315,361,-156,-129
4064898	245,287
4064927	394
4064956	205,415,450,312,392,236,300
4064985	358,332,324
4065014	335
4065043	300,449,383,232,331,368
4065072	365,274,282,237
4065101	358,386,246,477
4065130	373,337
4065159	299,210,284,264,257,303,238
4065188	255,259,406,194,328,290
4065217	285,357,206,343
4065246	243,281,334,358
4065275	351,413,309,339,377
4065304	238,329,238,348,366,2000
4065333	257,396,337
4065362	333,266
4065391	337,228
4065420	352,361,295,394,309,371
4065449	373,270,332
4065478	283,418
4065507	360,286,376,403,318,276,289
4065536	326,229,335,362,391
4065565	480,326
4065594	320,356,394,342,373,406
4065623	226,327,479,474,265,386
4065652	237,230,422,295,313
4065681	383,427,240,270,263
4065710	368,368,503,253,287,136
4065739	373,195
4065768	325
4065797	371,399,197,362,356,529
4065826	326,408,309,371,347,316,381
4065855	313,325
4065884	363,345,379,408,297
4065913	292,289,378,345
4065942	262,300
4065971	NA
4066000	338,407,421,326
4066029	383,333
4066058	194,226,381,291
4066087	333,285,411,435
4066116	389,345,455,433
4066145	439
4066174	297,446,430,195,280,279
4066203	292,318,170
4066232	313,295,254,214,365
4066261	505,357,432,252
4066290	261,174,260
4066319	367,452,319,273,519,351,358,118
4066348	155,165,140,329,123,350,259,340,410,238,318,452,268,346,162
4066377	143,427,478,191,78,320,93,372,367,365,424,424,404,529
4066406	298,121,299,337,342,195,357,420,193
4066435	306,391,313,256,421,268,320,333,296
4066464	336,269,306
4066493	366,320,316
4066522	289
4066551	335,416
4066580	411,557,485,331
4066609	375,346,276,354,372
