3450287	NA
3450297	311,280,316
3450307	385
3450317	240,275
3450327	304,339
3450337	261,275,297
3450347	304,405,292,254,267,272,421,333
3450357	367
3450367	157
3450377	370,606
3450387	297,362
3450397	NA
3450407	349,375,230
3450417	389
3450427	348,302
3450437	NA
3450447	316
3450457	301,320,273
3450467	NA
3450477	NA
3450487	252,282,300,252
3450497	380
3450507	285,319,315,210
3450517	336
3450527	NA
3450537	319,285,216,370
3450547	226
3450557	NA
3450567	515
3450577	366
3450587	NA
3450597	NA
3450607	167,266
3450617	226,300
3450627	271,303,173
3450637	218
3450647	201,347
3450657	315
3450667	205,285
3450677	351,198
3450687	272,205,428
3450697	215,269,307,204
3450707	322,402,314,285
3450717	360,297,204
3450727	265,258,259,266
3450737	274
3450747	206,264,250,276
3450757	185
3450767	315,317,302,314,314
3450777	NA
3450787	NA
3450797	328,184,310
3450807	307,350,241
3450817	204
3450827	369,309,228,337
3450837	338
3450847	NA
3450857	216,356
3450867	325
3450877	300
3450887	397
3450897	409,201,331
3450907	309,218,390,263
3450917	309,354
3450927	346
3450937	371,231,361,327,318,331
3450947	NA
3450957	369,278,310
3450967	242,301,297
3450977	326,275,309,325
3450987	317,352,291,323,349
3450997	231,282,320,347,356
3451007	323
3451017	293,321,298,362,274
3451027	244,347,301
3451037	250,416
3451047	293
3451057	NA
3451067	439
3451077	201
3451087	NA
3451097	321,377
3451107	222,369
3451117	404
3451127	361
3451137	342
3451147	318,244,289,226
3451157	359,358,294,345
3451167	234
3451177	279,372
3451187	NA
3451197	401,225
3451207	247
3451217	267
3451227	307
3451237	302,312
3451247	669,235
3451257	NA
3451267	198,207,358
3451277	383,287
