bin	total	mapQltT	mapQ0
13827811	46	0	0
13827821	45	0	0
13827831	47	0	0
13827841	51	0	0
13827851	50	0	0
13827861	49	0	0
13827871	50	0	0
13827881	50	0	0
13827891	48	0	0
13827901	52	0	0
13827911	51	0	0
13827921	57	0	0
13827931	55	0	0
13827941	52	0	0
13827951	57	0	0
13827961	57	0	0
13827971	56	0	0
13827981	58	0	0
13827991	56	0	0
13828001	56	0	0
13828011	59	0	0
13828021	59	0	0
13828031	59	0	0
13828041	63	0	0
13828051	63	0	0
13828061	62	0	0
13828071	63	0	0
13828081	61	0	0
13828091	57	0	0
13828101	58	0	0
13828111	56	0	0
13828121	56	0	0
13828131	57	0	0
13828141	56	0	0
13828151	56	0	0
13828161	63	0	0
13828171	60	0	0
13828181	62	0	0
13828191	64	0	0
13828201	65	0	0
13828211	64	0	0
13828221	61	0	0
13828231	58	0	0
13828241	61	0	0
13828251	54	0	0
13828261	50	0	0
13828271	53	0	0
13828281	54	0	0
13828291	48	0	0
13828301	41	0	0
13828311	31	0	0
13828321	35	0	0
13828331	45	0	0
13828341	51	0	0
13828351	57	0	0
13828361	58	0	0
13828371	60	0	0
13828381	66	0	0
13828391	73	0	0
13828401	81	0	0
13828411	66	0	0
13828421	56	0	0
13828431	59	0	0
13828441	57	0	0
13828451	55	0	0
13828461	50	0	0
13828471	54	0	0
13828481	52	0	0
13828491	49	0	0
13828501	46	0	0
13828511	45	0	0
13828521	44	0	0
13828531	41	0	0
13828541	39	0	0
13828551	40	0	0
13828561	39	0	0
13828571	34	0	0
13828581	32	0	0
13828591	32	0	0
13828601	35	0	0
13828611	34	0	0
13828621	35	0	0
13828631	39	0	0
13828641	39	0	0
13828651	42	0	0
13828661	42	0	0
13828671	45	0	0
13828681	42	0	0
13828691	42	0	0
13828701	44	0	0
13828711	44	0	0
13828721	48	0	0
13828731	49	0	0
13828741	50	0	0
13828751	52	0	0
13828761	52	0	0
13828771	53	0	0
13828781	55	0	0
13828791	56	0	0
13828801	57	0	0
