bin	total	mapQltT	mapQ0
607735	62	0	0
607745	63	0	0
607755	62	0	0
607765	63	0	0
607775	62	0	0
607785	59	0	0
607795	58	0	0
607805	56	0	0
607815	61	0	0
607825	58	0	0
607835	56	0	0
607845	54	0	0
607855	48	0	0
607865	46	0	0
607875	47	0	0
607885	48	0	0
607895	46	0	0
607905	43	0	0
607915	39	0	0
607925	36	0	0
607935	34	0	0
607945	33	0	0
607955	38	0	0
607965	38	0	0
607975	38	0	0
607985	38	0	0
607995	37	0	0
608005	38	0	0
608015	40	0	0
608025	39	0	0
608035	38	0	0
608045	37	0	0
608055	36	0	0
608065	35	0	0
608075	31	0	0
608085	31	0	0
608095	29	0	0
608105	28	0	0
608115	27	0	0
608125	21	1	1
608135	19	1	1
608145	13	0	1
608155	8	0	1
608165	8	0	2
608175	9	0	3
608185	9	0	4
608195	8	1	4
608205	8	1	4
608215	8	2	3
608225	9	2	2
608235	9	2	1
608245	6	0	1
608255	7	1	3
608265	10	1	4
608275	19	3	8
608285	23	5	9
608295	28	7	10
608305	29	9	10
608315	24	9	6
608325	23	8	6
608335	22	8	8
608345	17	6	7
608355	16	3	8
608365	15	2	7
608375	8	1	4
608385	7	0	3
608395	5	0	2
608405	4	0	1
608415	4	0	1
608425	4	1	1
608435	8	2	2
608445	9	3	4
608455	10	5	4
608465	16	7	6
608475	24	11	10
608485	31	13	14
608495	35	17	14
608505	37	19	14
608515	44	22	17
608525	46	21	17
608535	51	24	17
608545	55	25	20
608555	54	24	21
608565	41	21	13
608575	34	14	13
608585	24	12	9
608595	17	8	7
608605	15	5	7
608615	11	4	6
608625	7	2	3
608635	6	0	5
608645	7	0	7
608655	6	0	6
608665	9	1	7
608675	9	1	5
608685	10	1	4
608695	12	1	4
608705	18	3	3
608715	19	3	2
608725	18	2	0
