bin	reads	orphaned	inverted	samestrand	secondary	supplementary	clipped	diffmol
607735	40	0	0	0	0	0	1	1
607745	46	0	0	0	0	0	1	1
607755	51	0	0	0	0	0	1	1
607765	52	0	0	0	0	0	1	1
607775	52	0	0	0	0	0	1	1
607785	55	0	0	0	0	0	1	1
607795	55	0	0	0	0	0	1	1
607805	60	0	0	0	0	0	1	1
607815	62	0	0	0	0	0	0	0
607825	66	0	0	0	0	0	0	0
607835	62	0	0	0	0	0	0	0
607845	60	0	0	0	0	0	0	0
607855	54	0	0	0	0	0	0	0
607865	50	0	0	0	0	0	0	0
607875	51	0	0	0	0	0	0	0
607885	53	0	0	0	0	0	0	0
607895	50	0	0	0	0	0	0	0
607905	48	0	0	0	0	0	0	0
607915	44	0	0	0	0	0	0	0
607925	42	0	0	0	0	0	0	0
607935	42	0	0	0	0	0	0	0
607945	40	0	0	0	0	0	0	0
607955	40	0	0	0	0	0	0	0
607965	42	1	0	0	0	0	0	0
607975	43	1	0	0	0	0	0	0
607985	41	1	0	0	0	0	0	0
607995	42	1	0	0	0	0	0	0
608005	39	1	0	0	0	0	0	0
608015	43	1	0	0	0	0	0	0
608025	44	1	0	0	0	0	0	0
608035	41	1	0	0	0	0	1	1
608045	44	1	0	0	0	0	4	4
608055	39	1	0	0	0	0	4	4
608065	37	1	0	0	0	0	5	5
608075	36	0	0	0	0	0	7	7
608085	35	0	0	0	0	0	7	7
608095	32	0	0	0	0	0	8	8
608105	31	0	0	0	0	0	8	8
608115	30	0	0	0	0	1	10	10
608125	25	0	0	0	0	1	9	9
608135	22	0	0	0	0	2	10	10
608145	19	0	0	0	0	2	8	8
608155	10	0	1	0	0	1	2	2
608165	8	0	1	0	0	1	2	2
608175	12	0	3	0	0	2	6	6
608185	12	0	3	0	0	2	7	7
608195	9	0	4	0	0	1	7	7
608205	10	0	4	0	0	1	8	8
608215	10	0	3	0	0	1	9	9
608225	11	0	2	0	0	1	10	10
608235	10	0	1	0	0	1	9	9
608245	9	0	1	0	0	1	8	8
608255	9	0	2	0	0	2	9	9
608265	16	0	3	0	0	2	16	16
608275	22	1	4	0	0	2	22	22
608285	28	1	4	0	0	2	28	28
608295	30	1	4	0	0	2	30	30
608305	33	1	5	0	0	2	33	33
608315	30	1	2	0	0	1	30	30
608325	25	0	3	0	0	0	25	25
608335	27	0	3	0	0	0	27	27
608345	22	0	4	0	0	0	22	22
608355	21	0	5	0	0	0	21	21
608365	18	0	5	0	0	0	18	18
608375	15	0	4	0	0	0	15	15
608385	10	0	1	0	0	0	10	10
608395	7	0	0	0	0	0	7	7
608405	5	0	0	0	0	0	5	5
608415	5	0	0	0	0	0	5	5
608425	7	0	1	0	0	0	7	7
608435	10	0	3	0	0	1	10	10
608445	11	0	4	0	0	1	11	11
608455	13	1	5	0	0	2	13	13
608465	23	1	6	0	0	6	23	23
608475	31	1	5	1	0	8	31	31
608485	37	2	6	1	0	8	37	37
608495	42	2	5	1	0	9	42	42
608505	46	1	4	1	0	14	46	46
608515	53	1	3	2	0	19	53	53
608525	51	1	3	2	0	14	51	51
608535	61	1	3	2	0	24	61	61
608545	62	3	2	2	0	26	62	62
608555	60	3	3	1	0	24	60	60
608565	63	3	3	1	0	20	63	63
608575	45	2	2	1	0	6	45	45
608585	38	2	3	0	0	2	38	38
608595	24	2	3	0	0	3	24	24
608605	18	0	4	0	0	1	18	18
608615	14	0	4	0	0	1	14	14
608625	11	0	1	0	0	1	11	11
608635	9	0	0	0	0	2	9	9
608645	8	0	0	0	0	2	8	8
608655	9	0	0	0	0	2	9	9
608665	11	0	0	0	0	3	9	9
608675	12	0	0	0	0	4	8	8
608685	12	0	0	0	0	4	7	7
608695	15	0	0	0	0	3	8	8
608705	20	0	0	0	0	3	10	10
608715	20	0	0	0	0	2	9	9
608725	21	0	0	0	0	1	8	8
