bin	total	mapQltT	mapQ0
69451532	54	0	0
69451542	54	0	0
69451552	50	0	0
69451562	50	0	0
69451572	55	0	0
69451582	58	0	0
69451592	54	0	0
69451602	54	0	0
69451612	54	0	0
69451622	49	0	0
69451632	49	0	0
69451642	48	0	0
69451652	47	0	0
69451662	47	0	0
69451672	46	0	0
69451682	42	0	0
69451692	40	0	0
69451702	40	0	0
69451712	45	0	0
69451722	47	0	0
69451732	47	0	0
69451742	52	0	0
69451752	55	0	0
69451762	50	0	0
69451772	50	0	0
69451782	52	0	0
69451792	51	0	0
69451802	47	0	0
69451812	46	0	0
69451822	46	0	0
69451832	46	0	0
69451842	44	0	0
69451852	40	0	0
69451862	45	0	0
69451872	46	0	0
69451882	46	0	0
69451892	48	0	0
69451902	53	0	0
69451912	59	0	0
69451922	58	0	0
69451932	60	0	0
69451942	60	0	0
69451952	61	0	0
69451962	63	0	0
69451972	58	0	0
69451982	61	0	0
69451992	58	0	0
69452002	55	0	0
69452012	49	0	0
69452022	49	0	0
69452032	49	1	0
69452042	48	2	0
69452052	49	2	5
69452062	55	5	6
69452072	60	7	7
69452082	61	7	7
69452092	63	7	7
69452102	63	7	7
69452112	58	7	7
69452122	58	6	7
69452132	57	5	6
69452142	56	2	4
69452152	54	1	0
69452162	56	0	0
69452172	52	0	0
69452182	48	0	0
69452192	44	0	0
69452202	44	0	0
69452212	49	0	0
69452222	55	0	0
69452232	58	0	0
69452242	58	0	0
69452252	57	0	0
69452262	58	0	0
69452272	56	0	0
69452282	53	0	0
69452292	57	0	0
69452302	56	0	0
69452312	57	0	0
69452322	51	0	0
69452332	53	0	0
69452342	56	0	0
69452352	59	0	0
69452362	58	0	0
69452372	62	0	0
69452382	61	0	0
69452392	58	0	0
69452402	53	0	0
69452412	54	0	0
69452422	54	0	0
69452432	51	0	0
69452442	49	0	0
69452452	49	0	0
69452462	49	0	0
69452472	51	0	0
69452482	52	0	0
69452492	51	0	0
69452502	53	0	0
69452512	51	0	0
69452522	57	0	0
