bin	total	mapQltT	mapQ0
4632001	48	0	0
4632022	48	0	0
4632043	48	0	0
4632064	50	0	0
4632085	45	0	0
4632106	38	0	0
4632127	37	0	0
4632148	39	0	0
4632169	37	0	0
4632190	40	0	0
4632211	44	0	0
4632232	42	0	0
4632253	45	0	0
4632274	45	0	0
4632295	43	0	0
4632316	41	0	0
4632337	39	0	0
4632358	44	0	0
4632379	45	0	0
4632400	42	0	0
4632421	45	0	0
4632442	44	0	0
4632463	39	0	0
4632484	35	0	0
4632505	37	0	0
4632526	35	0	0
4632547	37	1	2
4632568	39	3	2
4632589	45	5	2
4632610	58	12	1
4632631	67	17	1
4632652	70	23	2
4632673	68	26	2
4632694	63	24	7
4632715	58	22	7
4632736	58	23	9
4632757	53	17	8
4632778	42	13	6
4632799	29	9	3
4632820	12	4	1
4632841	1	0	0
4632862	0	0	0
4632883	0	0	0
4632904	0	0	0
4632925	2	1	1
4632946	5	4	1
4632967	21	9	2
4632988	38	15	3
4633009	52	19	3
4633030	63	21	3
4633051	67	20	2
4633072	56	17	1
4633093	50	13	3
4633114	51	15	4
4633135	57	20	3
4633156	61	21	3
4633177	64	22	2
4633198	62	20	1
4633219	55	13	1
4633240	49	9	1
4633261	56	11	5
4633282	57	12	8
4633303	56	11	8
4633324	58	11	10
4633345	63	11	10
4633366	51	5	6
4633387	55	2	5
4633408	57	2	4
4633429	51	0	1
4633450	48	0	0
4633471	47	0	0
4633492	46	0	0
4633513	44	0	0
4633534	42	0	0
4633555	40	0	0
4633576	38	0	0
4633597	39	0	0
4633618	40	0	0
4633639	46	0	0
4633660	53	0	0
4633681	57	0	0
4633702	60	0	0
4633723	60	0	0
4633744	54	0	0
4633765	45	0	0
4633786	43	0	0
4633807	43	0	0
4633828	37	0	0
4633849	32	0	0
4633870	32	0	0
4633891	32	0	0
4633912	33	0	0
4633933	36	0	0
4633954	46	0	0
4633975	44	0	0
4633996	45	0	0
4634017	48	0	0
4634038	40	0	0
4634059	34	0	0
4634080	34	0	0
4634101	30	0	0
