bin	reads	orphaned	inverted	samestrand	secondary	supplementary	clipped	diffmol
4632001	30	1	26	0	0	0	1	1
4632022	36	0	29	0	0	0	2	2
4632043	39	0	28	0	0	0	2	2
4632064	48	0	32	0	0	0	2	2
4632085	52	0	33	0	0	0	2	2
4632106	48	0	26	0	0	0	0	0
4632127	48	0	25	0	0	0	0	0
4632148	46	0	26	0	0	0	0	0
4632169	49	0	31	0	0	0	0	0
4632190	48	0	34	0	0	0	0	0
4632211	52	0	34	0	0	0	0	0
4632232	51	0	32	0	0	0	0	0
4632253	56	0	34	0	0	0	1	1
4632274	56	0	31	0	0	0	1	1
4632295	51	0	28	0	0	0	1	1
4632316	48	0	22	0	0	0	1	1
4632337	55	0	24	0	0	0	0	0
4632358	55	0	23	0	0	0	0	0
4632379	53	0	20	0	0	0	0	0
4632400	49	0	18	0	0	0	0	0
4632421	51	0	18	0	0	0	0	0
4632442	58	0	25	0	0	0	0	0
4632463	48	0	22	0	0	0	0	0
4632484	44	0	23	0	0	0	0	0
4632505	43	0	22	0	0	0	0	0
4632526	46	0	23	0	0	0	1	1
4632547	47	0	24	0	0	0	1	1
4632568	49	0	28	0	0	0	4	4
4632589	57	0	33	0	0	0	8	8
4632610	73	0	45	1	0	1	16	16
4632631	78	0	47	1	0	1	21	21
4632652	78	0	43	1	0	1	25	25
4632673	82	0	43	0	0	0	25	25
4632694	81	0	38	0	0	1	20	20
4632715	79	0	33	0	0	1	16	16
4632736	71	0	28	0	0	0	18	18
4632757	58	0	22	0	0	0	13	13
4632778	47	0	18	0	0	0	8	8
4632799	37	0	18	0	0	0	8	8
4632820	22	0	11	0	0	0	5	5
4632841	5	0	1	0	0	0	1	1
4632862	0	0	0	0	0	0	0	0
4632883	0	0	0	0	0	0	0	0
4632904	2	0	1	0	0	0	0	0
4632925	3	0	2	0	0	0	0	0
4632946	12	0	6	0	0	0	0	0
4632967	28	0	15	0	0	0	3	3
4632988	44	0	20	0	0	0	4	4
4633009	60	0	27	0	0	0	5	5
4633030	69	0	29	0	0	0	8	8
4633051	78	0	33	0	0	0	11	11
4633072	70	0	30	0	0	0	10	10
4633093	67	0	27	0	0	0	10	10
4633114	70	0	32	0	0	0	12	12
4633135	70	0	34	0	0	0	14	14
4633156	73	0	39	0	0	0	11	11
4633177	75	0	36	0	0	0	12	12
4633198	75	0	37	0	0	0	12	12
4633219	70	0	36	0	0	0	10	10
4633240	65	0	35	0	0	0	9	9
4633261	69	0	37	0	0	0	10	10
4633282	67	0	39	0	0	0	12	12
4633303	65	0	41	0	0	0	10	10
4633324	71	0	43	0	0	0	8	8
4633345	75	0	45	0	0	0	10	10
4633366	70	0	39	0	0	0	8	8
4633387	65	0	33	0	0	0	5	5
4633408	66	0	29	1	0	0	5	5
4633429	67	0	27	2	0	0	5	5
4633450	55	0	24	2	0	0	3	3
4633471	59	0	25	3	0	1	4	4
4633492	55	0	22	2	0	1	2	2
4633513	56	0	23	2	0	1	3	3
4633534	49	0	21	1	0	0	2	2
4633555	50	0	24	0	0	0	2	2
4633576	47	0	22	0	0	0	1	1
4633597	49	1	22	0	0	0	2	2
4633618	52	1	26	0	0	0	1	1
4633639	57	1	34	0	0	0	1	1
4633660	63	1	39	0	0	0	2	2
4633681	65	1	39	0	0	0	1	1
4633702	69	1	41	0	0	0	1	1
4633723	71	0	41	0	0	0	1	1
4633744	66	0	34	0	0	0	2	2
4633765	56	0	25	0	0	0	1	1
4633786	57	0	25	0	0	0	1	1
4633807	53	0	24	0	0	0	1	1
4633828	47	0	23	0	0	0	1	1
4633849	36	0	18	0	0	0	0	0
4633870	40	1	23	0	0	0	1	1
4633891	45	1	27	0	0	0	2	2
4633912	38	1	23	0	0	0	2	2
4633933	49	1	29	0	0	0	2	2
4633954	50	1	29	0	0	0	3	3
4633975	52	1	29	0	0	0	4	4
4633996	55	0	30	0	0	0	2	2
4634017	54	0	31	0	0	0	2	2
4634038	49	0	27	0	0	0	1	1
4634059	43	0	20	0	0	0	2	2
4634080	40	0	16	0	0	0	1	1
4634101	41	0	18	0	0	0	1	1
