bin	reads	orphaned	inverted	samestrand	secondary	supplementary	clipped	diffmol
1585449	24	0	23	0	0	0	0	0
1585459	31	0	25	0	0	0	0	0
1585469	31	0	22	0	0	0	1	1
1585479	34	0	21	0	0	0	1	1
1585489	42	0	22	0	0	0	1	1
1585499	38	0	16	0	0	0	1	1
1585509	43	0	18	0	0	0	1	1
1585519	50	0	24	0	0	0	1	1
1585529	52	0	25	0	0	0	1	1
1585539	53	0	25	0	0	0	1	1
1585549	53	0	25	0	0	0	1	1
1585559	52	0	25	0	0	0	1	1
1585569	48	0	22	0	0	0	1	1
1585579	45	0	23	0	0	0	0	0
1585589	43	0	22	0	0	0	0	0
1585599	37	0	23	0	0	0	0	0
1585609	38	0	24	0	0	0	0	0
1585619	35	0	23	0	0	0	0	0
1585629	32	0	19	0	0	0	0	0
1585639	34	0	18	0	0	0	0	0
1585649	37	0	19	0	0	0	0	0
1585659	42	0	22	0	0	0	0	0
1585669	45	0	24	0	0	0	0	0
1585679	43	0	25	0	0	0	0	0
1585689	44	0	26	0	0	0	0	0
1585699	49	0	32	0	0	0	0	0
1585709	52	0	35	0	0	0	0	0
1585719	54	0	36	0	0	0	0	0
1585729	56	0	37	0	0	0	0	0
1585739	53	0	35	0	0	0	0	0
1585749	50	0	34	0	0	0	0	0
1585759	44	0	30	0	0	0	0	0
1585769	42	0	26	0	0	0	0	0
1585779	41	0	26	0	0	0	0	0
1585789	44	0	27	0	0	0	1	1
1585799	43	0	24	0	0	0	1	1
1585809	38	0	18	0	0	0	1	1
1585819	34	0	15	0	0	0	1	1
1585829	32	0	15	0	0	0	1	1
1585839	31	0	16	0	0	0	1	1
1585849	33	0	19	0	0	0	0	0
1585859	33	0	19	0	0	0	0	0
1585869	34	0	19	0	0	0	0	0
1585879	29	0	18	0	0	0	0	0
1585889	29	0	17	0	0	0	4	4
1585899	31	0	19	0	0	0	9	9
1585909	31	0	19	0	0	0	12	12
1585919	36	0	22	0	0	0	16	16
1585929	33	0	20	0	0	0	16	16
1585939	31	0	18	0	0	0	16	16
1585949	35	0	17	0	0	0	18	18
1585959	39	0	15	0	0	0	24	24
1585969	47	0	15	0	0	0	30	30
1585979	55	0	15	0	0	0	36	36
1585989	44	0	6	0	0	0	20	20
1585999	48	0	7	0	0	0	20	20
1586009	53	0	10	0	0	0	20	20
1586019	54	0	9	0	0	0	20	20
1586029	56	0	9	0	0	0	20	20
1586039	60	0	11	0	0	0	21	21
1586049	61	0	11	0	0	0	21	21
1586059	40	0	9	0	0	0	1	1
1586069	42	0	11	0	0	0	1	1
1586079	43	0	15	0	0	0	1	1
1586089	42	0	18	0	0	0	2	2
1586099	44	0	23	0	0	0	3	3
1586109	44	0	23	0	0	0	3	3
1586119	42	0	22	0	0	0	3	3
1586129	42	0	22	0	0	0	2	2
1586139	44	0	24	0	0	0	2	2
1586149	43	0	22	0	0	0	2	2
1586159	47	0	26	0	0	0	2	2
1586169	52	0	27	0	0	0	3	3
1586179	53	0	28	0	0	0	3	3
1586189	51	0	25	0	0	0	2	2
1586199	58	0	27	0	0	0	1	1
1586209	56	0	27	0	0	0	1	1
1586219	61	0	31	0	0	0	1	1
1586229	62	0	34	0	0	0	1	1
1586239	66	0	37	0	0	0	1	1
1586249	65	0	36	0	0	0	1	1
1586259	72	0	39	0	0	0	1	1
1586269	74	0	40	0	0	0	2	2
1586279	71	0	40	0	0	0	2	2
1586289	69	0	39	0	0	0	2	2
1586299	68	0	39	0	0	0	2	2
1586309	61	0	35	0	0	0	2	2
1586319	62	0	34	0	0	0	2	2
1586329	56	0	28	0	0	0	2	2
1586339	55	0	27	0	0	0	2	2
1586349	55	0	28	0	0	0	2	2
1586359	59	0	31	0	0	0	2	2
1586369	56	0	30	0	0	0	2	2
1586379	53	0	32	0	0	0	0	0
1586389	51	0	30	0	0	0	0	0
1586399	52	0	28	0	0	0	0	0
1586409	49	0	27	0	0	0	0	0
1586419	54	0	31	0	0	0	0	0
1586429	52	0	30	0	0	0	0	0
1586439	50	0	30	0	0	0	0	0
