bin	total	mapQltT	mapQ0
1585449	32	0	0
1585459	35	0	0
1585469	37	0	0
1585479	39	0	0
1585489	41	0	0
1585499	44	1	0
1585509	45	1	0
1585519	47	1	0
1585529	51	1	0
1585539	51	1	0
1585549	51	1	0
1585559	47	1	0
1585569	42	1	0
1585579	41	1	0
1585589	37	2	0
1585599	33	2	0
1585609	33	2	0
1585619	28	2	0
1585629	26	2	0
1585639	29	2	0
1585649	32	2	0
1585659	37	2	0
1585669	41	2	0
1585679	40	1	0
1585689	41	0	0
1585699	44	0	0
1585709	46	0	0
1585719	50	0	0
1585729	52	0	0
1585739	48	0	0
1585749	45	0	0
1585759	40	0	0
1585769	36	0	0
1585779	39	0	0
1585789	39	0	0
1585799	38	0	0
1585809	34	0	0
1585819	29	0	0
1585829	28	0	0
1585839	27	0	0
1585849	30	0	0
1585859	31	0	0
1585869	31	0	0
1585879	26	0	0
1585889	26	0	0
1585899	27	0	0
1585909	28	0	0
1585919	32	0	1
1585929	31	1	3
1585939	30	1	3
1585949	27	1	3
1585959	31	1	3
1585969	43	1	3
1585979	36	2	0
1585989	42	3	0
1585999	44	3	0
1586009	49	3	0
1586019	53	3	0
1586029	54	3	0
1586039	58	3	0
1586049	44	0	0
1586059	37	0	0
1586069	36	0	0
1586079	38	0	0
1586089	37	0	0
1586099	39	0	0
1586109	39	0	0
1586119	37	0	0
1586129	39	0	0
1586139	40	0	0
1586149	42	0	0
1586159	43	0	0
1586169	46	0	0
1586179	47	0	0
1586189	46	0	0
1586199	50	0	0
1586209	52	0	0
1586219	54	0	0
1586229	58	0	0
1586239	61	0	0
1586249	63	0	0
1586259	64	0	0
1586269	66	0	0
1586279	65	0	0
1586289	67	0	0
1586299	62	0	0
1586309	58	0	0
1586319	55	0	0
1586329	53	0	0
1586339	48	0	0
1586349	46	0	0
1586359	51	0	0
1586369	50	0	0
1586379	45	0	0
1586389	47	0	0
1586399	48	0	0
1586409	48	0	0
1586419	46	0	0
1586429	49	0	0
1586439	48	0	0
