bin	total	mapQltT	mapQ0
2938003	48	0	0
2938013	43	0	0
2938023	45	0	0
2938033	44	0	0
2938043	41	0	0
2938053	37	0	0
2938063	37	0	0
2938073	45	0	0
2938083	51	0	0
2938093	54	0	0
2938103	55	0	0
2938113	55	0	0
2938123	56	0	0
2938133	57	0	0
2938143	60	0	0
2938153	63	0	0
2938163	66	0	0
2938173	65	0	0
2938183	62	0	0
2938193	60	0	0
2938203	62	0	0
2938213	64	0	0
2938223	63	0	0
2938233	65	0	0
2938243	66	0	0
2938253	64	0	0
2938263	61	0	0
2938273	57	0	0
2938283	59	0	0
2938293	58	0	0
2938303	58	0	0
2938313	60	0	0
2938323	59	0	0
2938333	58	0	0
2938343	51	0	0
2938353	51	0	0
2938363	55	0	0
2938373	58	0	0
2938383	59	0	0
2938393	57	0	0
2938403	60	0	0
2938413	58	0	0
2938423	58	0	0
2938433	59	0	0
2938443	59	0	0
2938453	60	0	0
2938463	54	0	0
2938473	50	0	0
2938483	47	0	0
2938493	50	0	0
2938503	51	0	0
2938513	48	0	0
2938523	46	0	0
2938533	48	0	0
2938543	47	0	0
2938553	48	0	0
2938563	46	0	0
2938573	44	0	0
2938583	44	0	0
2938593	47	0	0
2938603	50	0	0
2938613	48	0	0
2938623	48	0	0
2938633	51	0	0
2938643	45	0	0
2938653	43	0	0
2938663	42	0	0
2938673	43	0	0
2938683	44	0	0
2938693	40	0	0
2938703	40	0	0
2938713	41	0	0
2938723	42	0	0
2938733	43	0	0
2938743	41	0	0
2938753	43	0	0
2938763	43	0	0
2938773	45	0	0
2938783	49	0	0
2938793	49	0	0
2938803	48	0	0
2938813	45	0	0
2938823	45	0	0
2938833	44	0	0
2938843	49	0	0
2938853	53	0	0
2938863	57	0	0
2938873	60	0	0
2938883	54	0	0
2938893	52	0	0
2938903	52	0	0
2938913	51	0	0
2938923	49	0	0
2938933	45	0	0
2938943	45	0	0
2938953	45	0	0
2938963	39	0	0
2938973	40	0	0
2938983	41	0	0
2938993	38	0	0
