bin	total	mapQltT	mapQ0
885724	66	2	2
885734	58	2	2
885744	57	2	2
885754	56	2	2
885764	56	1	3
885774	55	1	3
885784	57	2	2
885794	60	3	1
885804	64	5	1
885814	73	6	1
885824	74	6	1
885834	74	6	2
885844	75	6	2
885854	80	6	2
885864	81	6	2
885874	81	5	1
885884	73	5	1
885894	66	3	1
885904	65	1	2
885914	67	0	2
885924	65	0	1
885934	65	0	0
885944	66	0	0
885954	61	0	0
885964	58	0	0
885974	59	1	1
885984	56	1	1
885994	54	1	2
886004	51	1	2
886014	48	1	2
886024	44	1	2
886034	42	1	2
886044	38	1	2
886054	39	1	2
886064	36	0	1
886074	35	0	1
886084	38	0	0
886094	38	0	0
886104	39	0	0
886114	40	0	0
886124	43	0	0
886134	48	0	0
886144	50	0	0
886154	52	0	0
886164	55	0	0
886174	54	0	0
886184	51	0	0
886194	52	2	0
886204	53	6	0
886214	47	8	0
886224	51	13	0
886234	55	15	0
886244	57	15	0
886254	39	7	0
886264	38	4	0
886274	41	1	0
886284	46	0	0
886294	48	0	0
886304	51	0	0
886314	57	1	0
886324	45	4	0
886334	38	4	0
886344	40	4	0
886354	38	4	0
886364	39	4	0
886374	44	4	0
886384	46	3	0
886394	45	3	0
886404	41	2	0
886414	37	2	0
886424	36	2	0
886434	35	0	0
886444	34	0	0
886454	38	0	0
886464	39	0	0
886474	34	0	0
886484	33	0	0
886494	32	0	0
886504	33	0	0
886514	35	0	0
886524	39	0	0
886534	37	0	0
886544	36	0	0
886554	35	0	0
886564	35	0	0
886574	38	0	0
886584	37	0	0
886594	39	0	0
886604	42	0	0
886614	43	0	0
886624	42	1	0
886634	44	1	0
886644	47	1	0
886654	50	2	0
886664	52	3	0
886674	55	3	0
886684	53	3	0
886694	55	3	0
886704	61	3	0
886714	59	2	0
