bin	total	mapQltT	mapQ0
3450287	50	0	0
3450297	46	0	0
3450307	45	0	0
3450317	43	0	0
3450327	45	0	0
3450337	44	0	0
3450347	42	0	0
3450357	43	0	0
3450367	42	0	0
3450377	45	0	0
3450387	48	0	0
3450397	50	0	0
3450407	52	0	0
3450417	52	0	0
3450427	50	0	0
3450437	53	0	0
3450447	57	5	0
3450457	68	20	0
3450467	81	36	0
3450477	101	55	0
3450487	110	66	0
3450497	108	68	0
3450507	103	71	0
3450517	98	75	0
3450527	97	76	0
3450537	99	79	0
3450547	96	73	0
3450557	83	59	0
3450567	74	49	0
3450577	56	26	0
3450587	42	12	0
3450597	43	10	0
3450607	46	7	0
3450617	52	5	0
3450627	56	2	0
3450637	58	0	0
3450647	63	0	0
3450657	66	0	0
3450667	70	0	0
3450677	68	0	0
3450687	67	0	0
3450697	71	0	0
3450707	69	0	0
3450717	67	0	0
3450727	63	0	0
3450737	58	0	0
3450747	55	0	0
3450757	51	0	0
3450767	45	0	0
3450777	47	0	0
3450787	52	0	0
3450797	56	0	0
3450807	53	0	0
3450817	54	0	0
3450827	56	0	0
3450837	58	0	0
3450847	65	0	0
3450857	69	0	0
3450867	75	0	0
3450877	70	0	0
3450887	61	0	0
3450897	57	0	0
3450907	56	0	0
3450917	59	0	0
3450927	55	0	0
3450937	56	0	0
3450947	59	0	0
3450957	58	0	0
3450967	57	0	0
3450977	57	0	0
3450987	66	0	0
3450997	68	0	0
3451007	67	0	0
3451017	66	0	0
3451027	66	0	0
3451037	64	0	0
3451047	59	0	0
3451057	57	0	0
3451067	61	0	0
3451077	58	0	0
3451087	53	0	0
3451097	52	0	0
3451107	52	0	0
3451117	48	0	0
3451127	46	0	0
3451137	43	0	0
3451147	46	0	0
3451157	46	0	0
3451167	42	0	0
3451177	45	0	0
3451187	49	0	0
3451197	50	0	0
3451207	52	0	0
3451217	55	0	0
3451227	60	0	0
3451237	60	0	0
3451247	60	0	0
3451257	62	0	0
3451267	60	0	0
3451277	58	0	0
