bin	total	mapQltT	mapQ0
7498859	40	0	0
7498875	35	0	0
7498891	36	0	0
7498907	35	1	0
7498923	29	1	0
7498939	34	1	0
7498955	40	1	0
7498971	47	4	0
7498987	52	5	0
7499003	53	6	0
7499019	53	8	0
7499035	52	8	0
7499051	46	7	0
7499067	42	6	0
7499083	34	4	0
7499099	29	2	0
7499115	27	2	0
7499131	34	4	0
7499147	41	8	0
7499163	40	9	0
7499179	44	9	1
7499195	48	8	1
7499211	45	7	1
7499227	43	8	1
7499243	36	6	2
7499259	36	8	2
7499275	36	9	2
7499291	31	10	1
7499307	32	10	1
7499323	33	8	1
7499339	31	8	1
7499355	28	5	1
7499371	26	3	1
7499387	27	3	1
7499403	26	3	0
7499419	22	2	0
7499435	24	3	0
7499451	30	4	0
7499467	36	5	0
7499483	42	6	0
7499499	44	7	0
7499515	46	5	0
7499531	48	4	0
7499547	45	2	0
7499563	41	1	0
7499579	35	0	0
7499595	34	0	0
7499611	33	0	0
7499627	28	0	0
7499643	30	0	0
7499659	33	0	0
7499675	37	0	0
7499691	42	1	0
7499707	41	1	0
7499723	42	1	0
7499739	43	1	0
7499755	42	1	0
7499771	40	0	0
7499787	41	0	0
7499803	47	0	0
7499819	47	0	0
7499835	48	0	0
7499851	49	0	0
7499867	50	0	0
7499883	49	0	0
7499899	45	0	0
7499915	49	0	0
7499931	52	0	0
7499947	49	0	0
7499963	50	0	0
7499979	48	0	0
7499995	45	0	0
7500011	42	0	0
7500027	42	1	0
7500043	40	2	0
7500059	38	2	0
7500075	40	2	0
7500091	41	1	0
7500107	39	0	0
7500123	32	0	0
7500139	29	0	0
7500155	28	0	0
7500171	27	0	0
7500187	28	0	0
7500203	29	0	0
7500219	27	0	0
7500235	28	1	0
7500251	32	4	0
7500267	34	6	0
7500283	38	6	0
7500299	42	6	0
7500315	47	6	0
7500331	52	6	0
7500347	51	3	0
7500363	50	1	0
7500379	51	1	0
7500395	45	1	0
7500411	45	0	0
7500427	46	0	0
7500443	47	0	0
7500459	50	0	0
7500475	49	0	0
7500491	52	0	0
7500507	52	0	0
