bin	reads	orphaned	inverted	samestrand	secondary	supplementary	clipped	diffmol
7498859	21	0	0	0	0	0	0	0
7498875	25	0	0	0	0	0	0	0
7498891	30	0	0	0	0	0	0	0
7498907	32	0	0	0	0	0	0	0
7498923	28	0	0	0	0	0	2	2
7498939	35	0	0	0	0	0	4	4
7498955	47	0	0	0	0	0	4	4
7498971	53	0	0	0	0	0	4	4
7498987	59	0	0	0	0	0	4	4
7499003	62	0	0	0	0	0	5	5
7499019	60	0	0	0	0	0	5	5
7499035	57	0	0	0	0	0	2	2
7499051	58	0	0	0	0	0	2	2
7499067	48	0	0	0	0	0	2	2
7499083	40	0	0	0	0	0	3	3
7499099	37	0	0	0	0	0	3	3
7499115	34	0	0	0	0	0	2	2
7499131	43	0	0	0	0	0	1	1
7499147	48	0	0	0	0	0	1	1
7499163	45	0	0	0	0	0	1	1
7499179	49	0	0	0	0	0	2	2
7499195	53	0	0	0	0	0	1	1
7499211	52	0	0	0	0	0	2	2
7499227	52	0	0	0	0	0	2	2
7499243	43	0	0	0	0	0	2	2
7499259	42	0	0	0	0	0	3	3
7499275	39	0	0	0	0	0	3	3
7499291	39	0	0	0	0	0	2	2
7499307	38	0	0	0	0	0	2	2
7499323	36	0	0	0	0	0	1	1
7499339	37	0	0	0	0	0	3	3
7499355	33	0	0	0	0	0	3	3
7499371	31	0	0	0	0	0	2	2
7499387	32	0	0	0	0	0	3	3
7499403	32	0	0	0	0	0	3	3
7499419	28	0	0	0	0	0	3	3
7499435	32	0	0	0	0	0	6	6
7499451	37	0	0	0	0	0	5	5
7499467	43	0	0	0	0	0	6	6
7499483	47	0	0	0	0	0	7	7
7499499	51	0	0	0	0	0	6	6
7499515	51	0	0	0	0	0	6	6
7499531	57	0	0	0	0	0	8	8
7499547	51	0	0	0	0	0	4	4
7499563	47	0	0	0	0	0	3	3
7499579	40	0	0	0	0	0	2	2
7499595	41	0	0	0	0	0	2	2
7499611	38	0	0	0	0	0	2	2
7499627	35	0	0	0	0	0	4	4
7499643	36	0	0	0	0	0	2	2
7499659	39	0	0	0	0	0	3	3
7499675	44	0	0	0	0	0	5	5
7499691	48	0	0	0	0	0	6	6
7499707	46	0	0	0	0	0	5	5
7499723	48	0	0	0	0	0	5	5
7499739	52	0	0	0	0	0	3	3
7499755	47	0	0	0	0	0	3	3
7499771	49	0	0	0	0	0	4	4
7499787	50	0	0	0	0	0	3	3
7499803	54	0	0	0	0	0	3	3
7499819	51	0	0	0	0	0	3	3
7499835	58	0	0	0	0	0	4	4
7499851	56	0	0	0	0	0	5	5
7499867	58	0	0	0	0	0	6	6
7499883	52	0	0	0	0	0	4	4
7499899	57	0	0	0	0	0	4	4
7499915	56	0	0	0	0	0	4	4
7499931	61	0	0	0	0	0	5	5
7499947	59	0	0	0	0	0	2	2
7499963	54	0	0	0	0	0	1	1
7499979	52	0	0	0	0	0	1	1
7499995	53	0	0	0	0	0	2	2
7500011	54	0	0	0	0	0	3	3
7500027	50	0	0	0	0	0	4	4
7500043	50	0	0	0	0	0	4	4
7500059	44	0	0	0	0	0	4	4
7500075	43	0	0	0	0	0	4	4
7500091	48	0	0	0	0	0	4	4
7500107	45	0	0	0	0	0	2	2
7500123	38	0	0	0	0	0	1	1
7500139	35	0	0	0	0	0	1	1
7500155	35	0	0	0	0	0	1	1
7500171	31	0	0	0	0	0	1	1
7500187	35	0	0	0	0	0	2	2
7500203	34	0	0	0	0	0	3	3
7500219	30	0	0	0	0	0	3	3
7500235	33	0	0	0	0	0	2	2
7500251	40	0	0	0	0	0	2	2
7500267	43	0	0	0	0	0	2	2
7500283	47	0	0	0	0	0	4	4
7500299	46	0	0	0	0	0	2	2
7500315	52	0	0	0	0	0	2	2
7500331	57	0	0	0	0	0	2	2
7500347	61	0	0	0	0	0	3	3
7500363	62	0	0	0	0	0	3	3
7500379	59	0	0	0	0	0	2	2
7500395	55	0	0	0	0	0	1	1
7500411	55	0	0	0	0	0	1	1
7500427	49	0	0	0	0	0	1	1
7500443	46	0	0	0	0	0	1	1
7500459	44	0	0	0	0	0	0	0
7500475	44	0	0	0	0	0	0	0
7500491	41	0	0	0	0	0	0	0
7500507	40	0	0	0	0	0	0	0
