bin	total	mapQltT	mapQ0
3450287	44	0	0
3450297	41	0	0
3450307	42	0	0
3450317	43	0	0
3450327	47	0	0
3450337	50	0	0
3450347	52	0	0
3450357	55	0	0
3450367	58	0	0
3450377	59	0	0
3450387	55	0	0
3450397	54	0	0
3450407	58	0	0
3450417	58	0	0
3450427	56	0	0
3450437	56	0	0
3450447	53	2	0
3450457	53	7	0
3450467	63	20	0
3450477	77	36	0
3450487	84	42	1
3450497	86	45	1
3450507	87	51	1
3450517	90	56	4
3450527	91	60	5
3450537	91	62	5
3450547	95	62	6
3450557	94	55	7
3450567	85	46	6
3450577	75	33	5
3450587	62	22	2
3450597	62	19	2
3450607	61	13	1
3450617	54	8	0
3450627	50	3	0
3450637	53	0	0
3450647	57	0	0
3450657	55	0	0
3450667	57	0	0
3450677	57	0	0
3450687	58	0	0
3450697	58	0	0
3450707	55	0	0
3450717	57	0	0
3450727	56	0	0
3450737	52	0	0
3450747	49	0	0
3450757	45	0	0
3450767	41	0	0
3450777	44	0	0
3450787	43	0	0
3450797	46	0	0
3450807	48	0	0
3450817	53	0	0
3450827	53	0	0
3450837	55	0	0
3450847	55	0	0
3450857	58	0	0
3450867	57	0	0
3450877	58	0	0
3450887	57	0	0
3450897	53	0	0
3450907	52	0	0
3450917	48	0	0
3450927	52	0	0
3450937	53	0	0
3450947	54	0	0
3450957	56	0	0
3450967	56	0	0
3450977	55	0	0
3450987	56	0	0
3450997	56	0	0
3451007	59	0	0
3451017	60	0	0
3451027	60	0	0
3451037	59	0	0
3451047	58	0	0
3451057	55	0	0
3451067	54	0	0
3451077	50	0	0
3451087	49	0	0
3451097	49	0	0
3451107	47	0	0
3451117	46	0	0
3451127	41	0	0
3451137	37	0	0
3451147	37	0	0
3451157	39	0	0
3451167	39	0	0
3451177	39	0	0
3451187	42	0	0
3451197	43	0	0
3451207	45	0	0
3451217	51	0	0
3451227	55	0	0
3451237	58	0	0
3451247	58	0	0
3451257	60	0	0
3451267	61	0	0
3451277	62	0	0
