bin	total	mapQltT	mapQ0
69451532	49	0	0
69451542	47	0	0
69451552	50	0	0
69451562	52	0	0
69451572	57	0	0
69451582	59	0	0
69451592	61	0	0
69451602	60	0	0
69451612	59	0	0
69451622	59	0	0
69451632	62	0	0
69451642	61	0	0
69451652	61	0	0
69451662	61	0	0
69451672	57	0	0
69451682	51	0	0
69451692	46	0	0
69451702	49	0	0
69451712	50	0	0
69451722	45	0	0
69451732	44	0	0
69451742	46	0	0
69451752	45	0	0
69451762	46	0	0
69451772	46	0	0
69451782	48	0	0
69451792	49	0	0
69451802	48	0	0
69451812	46	0	0
69451822	49	0	0
69451832	50	0	0
69451842	53	0	0
69451852	51	0	0
69451862	48	0	0
69451872	48	0	0
69451882	48	0	0
69451892	50	0	0
69451902	51	0	0
69451912	51	0	0
69451922	51	0	0
69451932	50	0	0
69451942	46	0	0
69451952	50	0	0
69451962	53	0	0
69451972	52	0	0
69451982	52	0	0
69451992	52	0	0
69452002	51	0	0
69452012	52	0	1
69452022	53	2	1
69452032	54	4	2
69452042	57	7	4
69452052	65	13	10
69452062	69	17	13
69452072	65	17	13
69452082	63	17	14
69452092	66	17	15
69452102	63	15	14
69452112	62	15	12
69452122	62	14	10
69452132	60	8	8
69452142	54	3	4
69452152	54	2	2
69452162	52	0	0
69452172	51	0	0
69452182	52	0	0
69452192	55	0	0
69452202	55	0	0
69452212	54	0	0
69452222	54	0	0
69452232	54	0	0
69452242	55	0	0
69452252	55	0	0
69452262	57	0	0
69452272	58	0	0
69452282	58	0	0
69452292	56	0	0
69452302	49	0	0
69452312	48	0	0
69452322	54	0	0
69452332	53	0	0
69452342	54	0	0
69452352	53	0	0
69452362	54	0	0
69452372	56	0	0
69452382	52	0	0
69452392	51	0	0
69452402	50	0	0
69452412	51	0	0
69452422	54	0	0
69452432	58	0	0
69452442	57	0	0
69452452	57	0	0
69452462	60	0	0
69452472	61	0	0
69452482	63	0	0
69452492	63	0	0
69452502	63	0	0
69452512	65	0	0
69452522	65	0	0
