bin	reads	orphaned	inverted	samestrand	secondary	supplementary	clipped	diffmol
4063738	41	1	36	0	0	0	1	1
4063767	52	1	39	0	0	0	1	1
4063796	62	1	42	0	0	0	1	1
4063825	72	0	41	0	0	0	1	1
4063854	64	0	31	0	0	0	1	1
4063883	64	1	29	0	0	0	2	2
4063912	61	1	27	0	0	0	2	2
4063941	65	1	28	0	0	0	1	1
4063970	61	1	25	0	0	0	0	0
4063999	70	0	32	0	0	0	0	0
4064028	71	0	31	0	0	0	0	0
4064057	64	0	30	0	0	0	0	0
4064086	62	0	31	0	0	0	1	1
4064115	70	1	35	0	0	0	1	1
4064144	71	1	37	0	0	0	1	1
4064173	79	1	41	0	0	0	2	2
4064202	76	2	38	0	0	0	4	4
4064231	72	2	35	0	0	0	6	6
4064260	72	1	34	0	0	0	11	11
4064289	71	1	34	0	0	0	18	18
4064318	61	1	33	0	0	0	22	22
4064347	52	0	29	0	0	0	21	21
4064376	62	0	36	0	0	4	30	30
4064405	72	0	39	0	0	4	42	42
4064434	88	1	45	0	0	0	52	52
4064463	125	1	64	0	0	0	70	70
4064492	144	1	72	0	0	6	83	83
4064521	121	1	64	0	0	6	57	57
4064550	112	0	59	0	0	0	51	51
4064579	102	0	56	0	0	0	34	34
4064608	122	0	62	0	0	0	41	41
4064637	126	0	72	0	0	0	45	45
4064666	118	0	69	0	0	0	41	41
4064695	108	0	64	0	0	0	37	37
4064724	91	0	49	0	0	0	37	37
4064753	63	0	33	0	0	0	19	19
4064782	45	0	19	0	0	0	9	9
4064811	50	0	23	0	0	0	8	8
4064840	48	0	23	0	0	0	15	15
4064869	53	0	28	0	0	1	32	32
4064898	42	0	23	0	0	1	31	31
4064927	6	0	5	0	0	0	5	5
4064956	9	0	4	0	0	3	9	9
4064985	10	0	4	0	0	3	9	9
4065014	13	0	4	0	0	0	9	9
4065043	18	0	8	0	0	1	12	12
4065072	18	0	10	0	0	1	12	12
4065101	22	0	11	0	0	1	17	17
4065130	33	0	15	0	0	0	24	24
4065159	28	0	11	0	0	0	18	18
4065188	25	0	11	0	0	2	15	15
4065217	22	0	8	0	0	2	12	12
4065246	12	0	5	0	0	0	4	4
4065275	9	0	5	0	0	0	3	3
4065304	20	0	13	0	0	0	5	5
4065333	34	1	20	0	0	0	4	4
4065362	33	1	19	0	0	0	2	2
4065391	31	1	18	0	0	0	3	3
4065420	27	1	15	0	0	0	2	2
4065449	13	1	8	0	0	0	1	1
4065478	2	0	2	0	0	0	0	0
4065507	1	0	1	0	0	0	0	0
4065536	0	0	0	0	0	0	0	0
4065565	0	0	0	0	0	0	0	0
4065594	1	0	1	0	0	1	1	1
4065623	1	0	1	0	0	1	1	1
4065652	2	0	1	0	0	1	2	2
4065681	5	0	2	0	0	0	5	5
4065710	5	0	2	0	0	0	5	5
4065739	6	0	3	0	0	0	6	6
4065768	9	0	7	0	0	0	9	9
4065797	9	0	7	0	0	0	9	9
4065826	8	0	6	0	0	0	8	8
4065855	2	0	0	0	0	0	2	2
4065884	0	0	0	0	0	0	0	0
4065913	0	0	0	0	0	0	0	0
4065942	3	0	1	0	0	2	3	3
4065971	3	0	1	0	0	2	3	3
4066000	2	0	0	0	0	1	2	2
4066029	6	0	2	0	0	0	0	0
4066058	10	0	3	0	0	0	3	3
4066087	11	0	3	0	0	0	3	3
4066116	11	0	3	0	0	0	3	3
4066145	12	0	4	0	0	0	3	3
4066174	12	0	4	0	0	0	8	8
4066203	8	0	4	0	0	0	5	5
4066232	9	0	5	0	0	0	6	6
4066261	9	0	4	0	0	0	7	7
4066290	10	0	5	0	0	0	8	8
4066319	14	0	6	0	0	1	10	10
4066348	53	0	22	0	0	1	27	27
4066377	83	0	28	0	0	1	41	41
4066406	100	0	34	2	0	2	48	48
4066435	123	0	44	2	0	15	59	59
4066464	85	0	30	2	0	15	30	30
4066493	69	0	25	2	0	15	28	28
4066522	41	0	17	2	0	0	8	8
4066551	34	0	15	0	0	0	8	8
4066580	26	0	14	0	0	0	7	7
4066609	17	0	11	0	0	0	4	4
