bin	total	mapQltT	mapQ0
4632001	44	0	0
4632022	39	0	0
4632043	40	0	0
4632064	41	0	0
4632085	42	0	0
4632106	42	0	0
4632127	42	0	0
4632148	40	0	0
4632169	37	0	0
4632190	37	0	0
4632211	40	0	0
4632232	43	0	0
4632253	43	0	0
4632274	44	0	0
4632295	47	0	0
4632316	46	0	0
4632337	45	0	0
4632358	45	0	0
4632379	44	0	0
4632400	43	0	0
4632421	42	0	0
4632442	38	0	0
4632463	40	0	0
4632484	45	0	0
4632505	43	0	0
4632526	47	1	0
4632547	55	3	3
4632568	54	4	6
4632589	56	9	7
4632610	63	14	8
4632631	57	16	7
4632652	57	20	5
4632673	61	28	5
4632694	60	31	4
4632715	52	27	4
4632736	58	33	3
4632757	56	31	3
4632778	45	24	2
4632799	35	19	1
4632820	16	9	0
4632841	2	1	0
4632862	0	0	0
4632883	0	0	0
4632904	0	0	0
4632925	6	4	1
4632946	12	7	2
4632967	23	9	3
4632988	43	15	3
4633009	54	19	4
4633030	59	16	4
4633051	64	15	3
4633072	58	12	3
4633093	45	10	2
4633114	49	13	1
4633135	53	18	2
4633156	61	22	3
4633177	73	25	5
4633198	75	19	6
4633219	69	14	5
4633240	65	10	4
4633261	61	10	4
4633282	62	14	5
4633303	67	18	5
4633324	71	18	6
4633345	68	18	7
4633366	57	14	4
4633387	57	9	3
4633408	46	4	3
4633429	40	2	1
4633450	42	0	0
4633471	49	0	0
4633492	48	0	0
4633513	53	0	0
4633534	60	0	0
4633555	63	0	0
4633576	59	0	0
4633597	58	0	0
4633618	58	0	0
4633639	52	0	0
4633660	57	0	0
4633681	59	0	0
4633702	59	0	0
4633723	56	0	0
4633744	59	0	0
4633765	58	0	0
4633786	55	0	0
4633807	50	0	0
4633828	55	0	0
4633849	50	0	0
4633870	52	0	0
4633891	58	0	0
4633912	54	0	0
4633933	55	0	0
4633954	57	0	0
4633975	48	0	0
4633996	45	0	0
4634017	44	0	0
4634038	45	0	0
4634059	47	0	0
4634080	50	0	0
4634101	60	0	0
